fs_id,player_id,event_id,time,utc_time,date,utc_date,pitcher,pitcher_id,pitcher_id_type,pitcher_hand,pitcher_team,batter,batter_id,batter_id_type,batter_hand,batter_team,pitch_set,pitch_type,pitch_call,pitch_velocity,pitch_release_vertical,pitch_release_horizontal,spin_rate,pitch_spin_direction,pitch_tilt,release_height,release_side,extension,break_vertical,break_induced_vertical,break_horizontal,strike_zone_height,strike_zone_side,plate_speed,approach_angle_vertical,approach_angle_horizontal,pitch_time,exit_speed,launch_angle_vertical,launch_angle_horizontal,carry,hit_track_distance,flight_time,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,guid,px,pz,pitch_strike_zone_front,strike_zone_top,strike_zone_bottom,pitch_spin_tilt_hours,pitch_spin_tilt_minutes,hit_ball_startposition,hit_ball_landing_position,pitch_poly_x,pitch_poly_y,pitch_poly_z,hit_poly_x,hit_poly_y,hit_poly_z,strike_zone_position,pitch_count,plate_appearance,batted_ball_type,hit_landing_side,hit_landing_forward,inning,inning_half,runners_on,balls,strikes,outs,runs,errors,client_id,created_at,updated_at
278,1206,142,11:36:31,16:36:31,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Test1,12295420,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{FBA201D9-394C-4067-AE73-EEDC5C12E261},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,1,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
279,1206,142,11:36:41,16:36:41,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Test1,12295420,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{416AEAE2-7B75-4ABC-A362-83A2B5E0950F},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,2,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
280,1206,142,11:36:49,16:36:49,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Test1,12295420,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,67.91,-7.85,-7.58,21.09,13.49,0.22,0,0,0,0,0,0,0,0,0,0,0,{447EF464-0228-4EE4-8AFD-CDEBD697527C},0,0,-; -; -,0,0,0,0,-0.02; -6.81; 2.40,-3.63; 13.97; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-0.02; -13.02; -16.41; 0.00; 0.00,-6.81; 97.80; -10.36; 0.00; 0.00,2.40; -13.61; 11.85; 0.00; 0.00,0,3,1,GB,-3.63,13.97,0,0,0,0,0,0,0,-,1,,
281,1206,142,11:36:59,16:36:59,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Test1,12295420,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,76.64,-12.89,16.74,7.58,11.85,0.07,0,0,0,0,0,0,0,0,0,0,0,{FE6995A0-0DE8-4AE2-B436-A2C07F816B7E},0,0,-; -; -,0,0,0,0,-1.05; 0.74; 1.46,0.28; 8.20; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-1.05; 31.56; -180.88; 0.00; 0.00,0.74; 104.93; -1.21; 0.00; 0.00,1.46; -25.07; 63.10; 0.00; 0.00,0,4,1,GB,0.28,8.2,0,0,0,0,0,0,0,-,1,,
282,1206,142,11:37:03,16:37:03,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Test1,12295420,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{E83BBE81-51C2-4D5B-90E0-B75D05CE418C},0,0,-; -; -,0,0,0,0,-; -; -,-; -; -,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0,5,1,UI,0,0,0,0,0,0,0,0,0,-,1,,
283,1206,142,11:37:39,16:37:39,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Test1,12295420,-,R,MW Marlins,WU,UI,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,81.4,3.74,15.2,110.5,9.41,1.04,0,0,0,0,0,0,0,0,0,0,0,{9ADD2255-BF1B-47AE-8B47-DFC9F5A6B0D7},0,0,-; -; -,0,0,0,0,-1.57; -5.26; 5.53,27.89; 101.25; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-1.57; 31.24; -2.73; 0.00; 0.00,-5.26; 114.97; -11.80; 0.00; 0.00,5.53; 7.78; -12.65; 0.00; 0.00,0,6,1,GB,27.89,101.25,0,0,0,0,0,0,0,-,1,,
284,1206,142,11:38:22,16:38:22,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Alexander Melo  (#392),12295178,-,R,MW Marlins,WU,FA,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,120.17,-6.19,6.41,12.72,14.62,0.08,0,0,0,0,0,0,0,0,0,0,0,{BBC4E91E-E443-48E7-BACE-03D8128E8BBA},0,0,-; -; -,0,0,0,0,1.62; 1.03; 1.92,1.69; 13.75; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,1.62; 19.56; -249.37; 0.00; 0.00,1.03; 174.13; -57.13; 0.00; 0.00,1.92; -18.99; -89.13; 0.00; 0.00,0,7,1,GB,1.69,13.75,0,0,0,0,0,0,0,-,1,,
285,1206,142,11:38:45,16:38:45,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Alexander Melo  (#392),12295178,-,R,MW Marlins,WU,FA,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,82.07,19.61,1.88,257.7,20.52,2.91,0,0,0,0,0,0,0,0,0,0,0,{5FCBCB56-A8FB-48A4-B8D6-1B64E4787162},0,0,-; -; -,0,0,0,0,-0.45; 2.37; 2.83,7.89; 259.98; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-0.45; 3.72; -0.29; 0.00; 0.00,2.37; 113.33; -8.54; 0.00; 0.00,2.83; 40.39; -16.65; 0.84; 0.00,0,8,1,LD,7.89,259.98,0,0,0,0,0,0,0,-,1,,
286,1206,142,11:38:55,16:38:55,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Alexander Melo  (#392),12295178,-,R,MW Marlins,WU,FA,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,80.09,-2.74,-16.58,13.23,16.74,0.12,0,0,0,0,0,0,0,0,0,0,0,{ADEDBFEB-D56C-41C7-AB80-BC670BA9AE1D},0,0,-; -; -,0,0,0,0,-0.01; 2.46; 2.06,-3.53; 15.22; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-0.01; -33.48; 28.17; 0.00; 0.00,2.46; 112.46; -26.28; 0.00; 0.00,2.06; -5.61; -103.79; 0.00; 0.00,0,9,1,GB,-3.53,15.22,0,0,0,0,0,0,0,-,1,,
287,1206,142,11:39:01,16:39:01,1/30/2022,1/30/2022,No Pitcher .,13127614,-,R,MW Marlins,Alexander Melo  (#392),12295178,-,R,MW Marlins,WU,FA,UI,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,76.25,-1.24,-29.24,30.57,14.59,0.28,0,0,0,0,0,0,0,0,0,0,0,{7B2EE8A1-C4C1-4F04-B5CB-C64D94F78302},0,0,-; -; -,0,0,0,0,-0.27; 3.06; 1.97,-15.06; 29.81; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,0.00; 0.00; 0.00; 0.00; 0.00,-0.27; -54.61; 8.37; 0.00; 0.00,3.06; 97.57; -10.85; 0.00; 0.00,1.97; -2.43; -16.04; 0.00; 0.00,0,10,1,GB,-15.06,29.81,0,0,0,0,0,0,0,-,1,,
